 annotation_hg19 ,TSS_name,450k_DNAm_status,previous_data
" 137,794,268 ",LOC100129662,subject and escape from XCI,no therefore novel XCI status call
" 138,286,444 ",FGF13,VE and subject to XCI,yes
" 138,287,184 ",FGF13,subject to XCI in 27 tissues,yes
" 139,587,224 ",SOX3,subject to XCI in 27 tissues,no therefore novel XCI status call
" 140,271,309 ",LDOC1,subject to XCI in 27 tissues,yes
" 142,722,318 ",SLITRK4,subject to XCI in 27 tissues,no therefore novel XCI status call
" 142,723,018 ",SLITRK4,subject to XCI in 27 tissues,no therefore novel XCI status call
" 144,899,346 ",SLITRK2,VE and subject to XCI,yes
" 146,993,468 ",FMR1,subject to XCI in 27 tissues,yes
" 147,582,138 ",AFF2,subject to XCI in 27 tissues,yes
" 148,586,883 ",IDS,subject to XCI in 27 tissues,yes
" 148,622,518 ",CXorf40A,subject to XCI in 27 tissues,yes
" 148,713,486 ",TMEM185A,subject to XCI in 27 tissues,yes
" 149,106,691 ",CXorf40B,subject to XCI in 27 tissues,no therefore novel XCI status call
" 149,106,765 ",LOC100272228,VE and subject to XCI,yes
" 149,529,835 ",MAMLD1,VE and subject to XCI,yes
" 149,531,550 ",MAMLD1,subject to XCI in 27 tissues,yes
" 149,737,046 ",MTM1,subject to XCI in 27 tissues,yes
" 149,861,868 ",MTMR1,subject to XCI in 27 tissues,yes
" 150,151,762 ",HMGB3,subject to XCI in 27 tissues,yes
" 150,565,656 ",VMA21,subject to XCI in 27 tissues,yes
" 150,863,729 ",PRRG3,VE and subject to XCI,no therefore novel XCI status call
" 151,143,150 ",GABRE,subject to XCI in 27 tissues,yes
" 151,619,830 ",GABRA3,VE and subject to XCI,yes
" 151,806,636 ",GABRQ,subject to XCI in 27 tissues,no therefore novel XCI status call
" 151,999,300 ",CETN2,subject to XCI in 27 tissues,yes
" 151,999,510 ",NSDHL,subject to XCI in 27 tissues,yes
" 152,224,765 ",PNMA3,subject to XCI in 27 tissues,yes
" 152,599,612 ",ZNF275,subject to XCI in 27 tissues,yes
" 152,736,602 ",HAUS7,subject to XCI in 27 tissues,yes
" 152,907,896 ",DUSP9,subject to XCI in 27 tissues,yes
" 152,912,656 ",DUSP9,subject to XCI in 27 tissues,yes
" 152,938,742 ",PNCK,VE and subject to XCI,no therefore novel XCI status call
" 152,939,276 ",PNCK,subject to XCI in 27 tissues,no therefore novel XCI status call
" 152,989,548 ",BCAP31,VE and subject to XCI,yes
" 153,060,018 ",SSR4,subject to XCI in 27 tissues,yes
" 153,141,398 ",L1CAM,VE and escape from XCI,yes
" 153,200,467 ",NAA10,VE and subject to XCI,yes
" 153,285,265 ",IRAK1,VE and subject to XCI,yes
" 153,285,439 ",MIR718,subject to XCI in 27 tissues,no therefore novel XCI status call
" 153,363,187 ",MECP2,subject to XCI in 27 tissues,yes
" 153,603,005 ",FLNA,subject to XCI in 27 tissues,yes
" 153,607,596 ",EMD,subject to XCI in 27 tissues,yes
" 153,626,570 ",RPL10,subject to XCI in 27 tissues,yes
" 153,627,678 ",RPL10,subject to XCI in 27 tissues,yes
" 153,639,876 ",TAZ,subject to XCI in 27 tissues,yes
" 153,640,426 ",DNASE1L1,subject to XCI in 27 tissues,yes
" 153,656,795 ",BC009467,subject to XCI in 27 tissues,no therefore novel XCI status call
" 153,656,977 ",ATP6AP1,subject to XCI in 27 tissues,yes
" 153,657,190 ",ATP6AP1,subject to XCI in 27 tissues,yes
" 153,665,258 ",GDI1,subject to XCI in 27 tissues,yes
" 153,672,472 ",FAM50A,subject to XCI in 27 tissues,yes
" 153,686,622 ",PLXNA3,subject to XCI in 27 tissues,yes
" 153,707,595 ",LAGE3,subject to XCI in 27 tissues,yes
" 153,714,931 ",UBL4A,subject to XCI in 27 tissues,yes
" 153,719,001 ",SLC10A3,subject to XCI in 27 tissues,yes
" 153,744,565 ",FAM3A,subject to XCI in 27 tissues,yes
" 153,775,232 ",G6PD,subject to XCI in 27 tissues,yes
" 153,775,561 ",IKBKG,VE and subject to XCI,yes
" 153,775,786 ",G6PD,subject to XCI in 27 tissues,yes
" 153,776,061 ",IKBKG,subject to XCI in 27 tissues,yes
" 153,979,347 ",GAB3,subject to XCI in 27 tissues,yes
" 153,991,030 ",DKC1,subject to XCI in 27 tissues,yes
" 154,033,801 ",MPP1,subject to XCI in 27 tissues,yes
" 154,255,063 ",FUNDC2,subject to XCI in 27 tissues,yes
